UniProtKB:P12270	TPR	Nucleoprotein TPR
UniProtKB:Q16584	MAP3K11	Mitogen-activated protein kinase kinase kinase 11
UniProtKB:Q9UK58	CCNL1	Cyclin-L1
UniProtKB:P07359	GP1BA	Platelet glycoprotein Ib alpha chain
UniProtKB:P07355	ANXA2	Annexin A2
UniProtKB:Q16568	CARTPT	Cocaine- and amphetamine-regulated transcript protein
UniProtKB:Q96B36	AKT1S1	Proline-rich AKT1 substrate 1
UniProtKB:O43653	PSCA	Prostate stem cell antigen
UniProtKB:O43679	LDB2	LIM domain-binding protein 2
UniProtKB:O75582	RPS6KA5	Ribosomal protein S6 kinase alpha-5
UniProtKB:O75581	LRP6	Low-density lipoprotein receptor-related protein 6
UniProtKB:Q96FZ7	CHMP6	Charged multivesicular body protein 6
UniProtKB:P47989	XDH	Xanthine dehydrogenase/oxidase
UniProtKB:O75553	DAB1	Disabled homolog 1
UniProtKB:P10721	KIT	Mast/stem cell growth factor receptor Kit
UniProtKB:O75528	TADA3	Transcriptional adapter 3
UniProtKB:P0DJI8	SAA1	Serum amyloid A-1 protein
UniProtKB:P17405	SMPD1	Sphingomyelin phosphodiesterase
UniProtKB:O43639	NCK2	Cytoplasmic protein NCK2
UniProtKB:P52848	NDST1	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1
UniProtKB:Q06124	PTPN11	Tyrosine-protein phosphatase non-receptor type 11
UniProtKB:O43613	HCRTR1	Orexin receptor type 1
UniProtKB:P52824	DGKQ	Diacylglycerol kinase theta
UniProtKB:O43609	SPRY1	Protein sprouty homolog 1
UniProtKB:Q9UHV2	SERTAD1	SERTA domain-containing protein 1
UniProtKB:P00441	SOD1	Superoxide dismutase [Cu-Zn]
UniProtKB:Q9P2Y5	UVRAG	UV radiation resistance-associated gene protein
UniProtKB:Q8NEM0	MCPH1	Microcephalin
UniProtKB:Q9NYV4	CDK12	Cyclin-dependent kinase 12
UniProtKB:P18847	ATF3	Cyclic AMP-dependent transcription factor ATF-3
UniProtKB:P18825	ADRA2C	Alpha-2C adrenergic receptor
UniProtKB:Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U
UniProtKB:Q495Y8	SPDYE2	Speedy protein E2
UniProtKB:Q495Y7	SPDYE7P	Putative speedy protein E7
UniProtKB:Q13485	SMAD4	Mothers against decapentaplegic homolog 4
UniProtKB:Q9P0W0	IFNK	Interferon kappa
UniProtKB:P13236	CCL4	C-C motif chemokine 4
UniProtKB:Q8N6T7	SIRT6	NAD-dependent protein deacetylase sirtuin-6
UniProtKB:O00206	TLR4	Toll-like receptor 4
UniProtKB:Q9P0R6	GSKIP	GSK3B-interacting protein
UniProtKB:P80511	S100A12	Protein S100-A12
UniProtKB:P60033	CD81	CD81 antigen
UniProtKB:P46663	BDKRB1	B1 bradykinin receptor
UniProtKB:Q15633	TARBP2	RISC-loading complex subunit TARBP2
UniProtKB:P06400	RB1	Retinoblastoma-associated protein
UniProtKB:Q8WWA0	ITLN1	Intelectin-1
UniProtKB:Q99801	NKX3-1	Homeobox protein Nkx-3.1
UniProtKB:Q06830	PRDX1	Peroxiredoxin-1
UniProtKB:Q16877	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4
UniProtKB:Q9Y5S8	NOX1	NADPH oxidase 1
UniProtKB:P16671	CD36	Platelet glycoprotein 4
UniProtKB:Q3ZCV2	LEXM	Lymphocyte expansion molecule
UniProtKB:Q05397	PTK2	Focal adhesion kinase 1
UniProtKB:Q56UN5	MAP3K19	Mitogen-activated protein kinase kinase kinase 19
UniProtKB:Q99873	PRMT1	Protein arginine N-methyltransferase 1
UniProtKB:P16619	CCL3L1	C-C motif chemokine 3-like 1
UniProtKB:Q7Z7J9	CAMK2N1	Calcium/calmodulin-dependent protein kinase II inhibitor 1
UniProtKB:Q9UGK3	STAP2	Signal-transducing adaptor protein 2
UniProtKB:Q9UGJ0	PRKAG2	5'-AMP-activated protein kinase subunit gamma-2
UniProtKB:P52803	EFNA5	Ephrin-A5
UniProtKB:Q8NFV5	SPDYE1	Speedy protein E1
UniProtKB:P49137	MAPKAPK2	MAP kinase-activated protein kinase 2
UniProtKB:Q96DZ5	CLIP3	CAP-Gly domain-containing linker protein 3
UniProtKB:O75376	NCOR1	Nuclear receptor corepressor 1
UniProtKB:O95835	LATS1	Serine/threonine-protein kinase LATS1
UniProtKB:P08F94	PKHD1	Fibrocystin
UniProtKB:O75367	H2AFY	Core histone macro-H2A.1
UniProtKB:O75356	ENTPD5	Ectonucleoside triphosphate diphosphohydrolase 5
UniProtKB:P17252	PRKCA	Protein kinase C alpha type
UniProtKB:O75326	SEMA7A	Semaphorin-7A
UniProtKB:Q9Y6E0	STK24	Serine/threonine-protein kinase 24
UniProtKB:P05813	CRYBA1	Beta-crystallin A3
UniProtKB:P0C263	SBK2	Serine/threonine-protein kinase SBK2
UniProtKB:P20783	NTF3	Neurotrophin-3
UniProtKB:P52630	STAT2	Signal transducer and activator of transcription 2
UniProtKB:P0C1S8	WEE2	Wee1-like protein kinase 2
UniProtKB:Q9Y639	NPTN	Neuroplastin
UniProtKB:P32121	ARRB2	Beta-arrestin-2
UniProtKB:Q08495	DMTN	Dematin
UniProtKB:Q9Y5X1	SNX9	Sorting nexin-9
UniProtKB:Q9Y5X5	NPFFR2	Neuropeptide FF receptor 2
UniProtKB:P47900	P2RY1	P2Y purinoceptor 1
UniProtKB:P42680	TEC	Tyrosine-protein kinase Tec
UniProtKB:Q9Y5V3	MAGED1	Melanoma-associated antigen D1
UniProtKB:Q04771	ACVR1	Activin receptor type-1
UniProtKB:Q9Y5U5	TNFRSF18	Tumor necrosis factor receptor superfamily member 18
UniProtKB:P30988	CALCR	Calcitonin receptor
UniProtKB:P62834	RAP1A	Ras-related protein Rap-1A
UniProtKB:Q04721	NOTCH2	Neurogenic locus notch homolog protein 2
UniProtKB:Q13188	STK3	Serine/threonine-protein kinase 3
UniProtKB:P42345	MTOR	Serine/threonine-protein kinase mTOR
UniProtKB:P42336	PIK3CA	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform
UniProtKB:Q8NFZ0	FBXO18	F-box DNA helicase 1
UniProtKB:O75293	GADD45B	Growth arrest and DNA damage-inducible protein GADD45 beta
UniProtKB:O95750	FGF19	Fibroblast growth factor 19
UniProtKB:O75832	PSMD10	26S proteasome non-ATPase regulatory subunit 10
UniProtKB:P10415	BCL2	Apoptosis regulator Bcl-2
UniProtKB:Q6P9H4	CNKSR3	Connector enhancer of kinase suppressor of ras 3
UniProtKB:Q14956	GPNMB	Transmembrane glycoprotein NMB
UniProtKB:P52564	MAP2K6	Dual specificity mitogen-activated protein kinase kinase 6
UniProtKB:Q96EB6	SIRT1	NAD-dependent protein deacetylase sirtuin-1
UniProtKB:P47897	QARS	Glutamine--tRNA ligase
UniProtKB:Q8NFM4	ADCY4	Adenylate cyclase type 4
UniProtKB:Q96EE3	SEH1L	Nucleoporin SEH1
UniProtKB:O43318	MAP3K7	Mitogen-activated protein kinase kinase kinase 7
UniProtKB:Q8NFJ5	GPRC5A	Retinoic acid-induced protein 3
UniProtKB:Q9NX09	DDIT4	DNA damage-inducible transcript 4 protein
UniProtKB:Q8NFH5	NUP35	Nucleoporin NUP53
UniProtKB:Q8NFH4	NUP37	Nucleoporin Nup37
UniProtKB:Q8NFH3	NUP43	Nucleoporin Nup43
UniProtKB:P15976	GATA1	Erythroid transcription factor
UniProtKB:P27361	MAPK3	Mitogen-activated protein kinase 3
UniProtKB:Q8NFG4	FLCN	Folliculin
UniProtKB:Q9Y572	RIPK3	Receptor-interacting serine/threonine-protein kinase 3
UniProtKB:Q9UER7	DAXX	Death domain-associated protein 6
UniProtKB:Q04656	ATP7A	Copper-transporting ATPase 1
UniProtKB:Q96F24	NRBF2	Nuclear receptor-binding factor 2
UniProtKB:Q9Y4R8	TELO2	Telomere length regulation protein TEL2 homolog
UniProtKB:Q04637	EIF4G1	Eukaryotic translation initiation factor 4 gamma 1
UniProtKB:Q96CA5	BIRC7	Baculoviral IAP repeat-containing protein 7
UniProtKB:P22413	ENPP1	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1
UniProtKB:Q9UII4	HERC5	E3 ISG15--protein ligase HERC5
UniProtKB:Q14764	MVP	Major vault protein
UniProtKB:O43187	IRAK2	Interleukin-1 receptor-associated kinase-like 2
UniProtKB:Q9Y3F4	STRAP	Serine-threonine kinase receptor-associated protein
UniProtKB:P22455	FGFR4	Fibroblast growth factor receptor 4
UniProtKB:Q9BV87	CNPPD1	Protein CNPPD1
UniProtKB:P0DMW2	NLRP2B	NLR family pyrin domain-containing protein 2B
UniProtKB:P59046	NLRP12	NACHT, LRR and PYD domains-containing protein 12
UniProtKB:Q9Y2Y0	ARL2BP	ADP-ribosylation factor-like protein 2-binding protein
UniProtKB:Q9UD71	PPP1R1B	Protein phosphatase 1 regulatory subunit 1B
UniProtKB:Q9Y2U5	MAP3K2	Mitogen-activated protein kinase kinase kinase 2
UniProtKB:Q8NDB2	BANK1	B-cell scaffold protein with ankyrin repeats
UniProtKB:Q9Y2T6	GPR55	G-protein coupled receptor 55
UniProtKB:Q9Y2T1	AXIN2	Axin-2
UniProtKB:Q9Y2R2	PTPN22	Tyrosine-protein phosphatase non-receptor type 22
UniProtKB:Q9Y2Q5	LAMTOR2	Ragulator complex protein LAMTOR2
UniProtKB:Q96GX9	APIP	Methylthioribulose-1-phosphate dehydratase
UniProtKB:P10147	CCL3	C-C motif chemokine 3
UniProtKB:P25942	CD40	Tumor necrosis factor receptor superfamily member 5
UniProtKB:Q8ND76	CCNY	Cyclin-Y
UniProtKB:O95429	BAG4	BAG family molecular chaperone regulator 4
UniProtKB:Q0VD86	INCA1	Protein INCA1
UniProtKB:P10114	RAP2A	Ras-related protein Rap-2a
UniProtKB:Q5D1E8	ZC3H12A	Endoribonuclease ZC3H12A
UniProtKB:Q96A59	MARVELD3	MARVEL domain-containing protein 3
UniProtKB:P07602	PSAP	Prosaposin
UniProtKB:Q8ND04	SMG8	Protein SMG8
UniProtKB:Q9Y2B9	PKIG	cAMP-dependent protein kinase inhibitor gamma
UniProtKB:Q9UK05	GDF2	Growth/differentiation factor 2
UniProtKB:P40763	STAT3	Signal transducer and activator of transcription 3
UniProtKB:P05305	EDN1	Endothelin-1
UniProtKB:Q9H2K8	TAOK3	Serine/threonine-protein kinase TAO3
UniProtKB:Q9UL62	TRPC5	Short transient receptor potential channel 5
UniProtKB:Q86UN2	RTN4RL1	Reticulon-4 receptor-like 1
UniProtKB:Q9UKW4	VAV3	Guanine nucleotide exchange factor VAV3
UniProtKB:Q96J02	ITCH	E3 ubiquitin-protein ligase Itchy homolog
UniProtKB:P15514	AREG	Amphiregulin
UniProtKB:Q9H2X6	HIPK2	Homeodomain-interacting protein kinase 2
UniProtKB:P37198	NUP62	Nuclear pore glycoprotein p62
UniProtKB:O95292	VAPB	Vesicle-associated membrane protein-associated protein B/C
UniProtKB:Q96IU2	ZBED3	Zinc finger BED domain-containing protein 3
UniProtKB:O95267	RASGRP1	RAS guanyl-releasing protein 1
UniProtKB:O95257	GADD45G	Growth arrest and DNA damage-inducible protein GADD45 gamma
UniProtKB:P30411	BDKRB2	B2 bradykinin receptor
UniProtKB:Q14469	HES1	Transcription factor HES-1
UniProtKB:P25713	MT3	Metallothionein-3
UniProtKB:P05231	IL6	Interleukin-6
UniProtKB:P05230	FGF1	Fibroblast growth factor 1
UniProtKB:P67870	CSNK2B	Casein kinase II subunit beta
UniProtKB:Q96JB5	CDK5RAP3	CDK5 regulatory subunit-associated protein 3
UniProtKB:Q9NR97	TLR8	Toll-like receptor 8
UniProtKB:P20160	AZU1	Azurocidin
UniProtKB:P35968	KDR	Vascular endothelial growth factor receptor 2
UniProtKB:Q9ULV1	FZD4	Frizzled-4
UniProtKB:Q9UM73	ALK	ALK tyrosine kinase receptor
UniProtKB:Q9ULV4	CORO1C	Coronin-1C
UniProtKB:Q9ULV8	CBLC	E3 ubiquitin-protein ligase CBL-C
UniProtKB:Q9ULW2	FZD10	Frizzled-10
UniProtKB:P35916	FLT4	Vascular endothelial growth factor receptor 3
UniProtKB:P54646	PRKAA2	5'-AMP-activated protein kinase catalytic subunit alpha-2
UniProtKB:P54652	HSPA2	Heat shock-related 70 kDa protein 2
UniProtKB:Q9ULZ3	PYCARD	Apoptosis-associated speck-like protein containing a CARD
UniProtKB:Q9NP95	FGF20	Fibroblast growth factor 20
UniProtKB:P35222	CTNNB1	Catenin beta-1
UniProtKB:Q07869	PPARA	Peroxisome proliferator-activated receptor alpha
UniProtKB:Q08499	PDE4D	cAMP-specific 3',5'-cyclic phosphodiesterase 4D
UniProtKB:Q13148	TARDBP	TAR DNA-binding protein 43
UniProtKB:P50148	GNAQ	Guanine nucleotide-binding protein G(q) subunit alpha
UniProtKB:A6NIY4	SPDYE5	Putative speedy protein E5
UniProtKB:Q07812	BAX	Apoptosis regulator BAX
UniProtKB:Q13191	CBLB	E3 ubiquitin-protein ligase CBL-B
UniProtKB:P14416	DRD2	D(2) dopamine receptor
UniProtKB:P56524	HDAC4	Histone deacetylase 4
UniProtKB:Q02297	NRG1	Pro-neuregulin-1, membrane-bound isoform
UniProtKB:P08887	IL6R	Interleukin-6 receptor subunit alpha
UniProtKB:P13501	CCL5	C-C motif chemokine 5
UniProtKB:P13500	CCL2	C-C motif chemokine 2
UniProtKB:Q18PE1	DOK7	Protein Dok-7
UniProtKB:Q02224	CENPE	Centromere-associated protein E
UniProtKB:O14595	CTDSP2	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2
UniProtKB:Q9BTX1	NDC1	Nucleoporin NDC1
UniProtKB:Q8N9M5	TMEM102	Transmembrane protein 102
UniProtKB:P30039	PBLD	Phenazine biosynthesis-like domain-containing protein
UniProtKB:Q9NSE2	CISH	Cytokine-inducible SH2-containing protein
UniProtKB:P13945	ADRB3	Beta-3 adrenergic receptor
UniProtKB:P30305	CDC25B	M-phase inducer phosphatase 2
UniProtKB:Q14012	CAMK1	Calcium/calmodulin-dependent protein kinase type 1
UniProtKB:O15335	CHAD	Chondroadherin
UniProtKB:Q9BPZ7	MAPKAP1	Target of rapamycin complex 2 subunit MAPKAP1
UniProtKB:P40225	THPO	Thrombopoietin
UniProtKB:P35568	IRS1	Insulin receptor substrate 1
UniProtKB:O14964	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate
UniProtKB:P15090	FABP4	Fatty acid-binding protein, adipocyte
UniProtKB:P35557	GCK	Glucokinase
RNAcentral:URS00001F1DA8_9606	URS00001F1DA8_9606	Homo sapiens (human) microRNA hsa-miR-126-3p
RNAcentral:URS000013D17D_9606	URS000013D17D_9606	Homo sapiens (human) microRNA hsa-miR-19b-3p
RNAcentral:URS00005C2A6D_9606	URS00005C2A6D_9606	Homo sapiens (human) microRNA hsa-miR-143-3p
RNAcentral:URS0000605E00_9606	URS0000605E00_9606	Homo sapiens (human) microRNA hsa-miR-181b-5p
RNAcentral:URS00003DA300_9606	URS00003DA300_9606	Homo sapiens (human) microRNA hsa-miR-181a-5p
RNAcentral:URS00002C6949_9606	URS00002C6949_9606	Homo sapiens (human) microRNA hsa-miR-222-3p
RNAcentral:URS000032BD73_9606	URS000032BD73_9606	Homo sapiens (human) microRNA hsa-miR-133b
RNAcentral:URS0000527F89_9606	URS0000527F89_9606	Homo sapiens (human) microRNA hsa-miR-145-5p
RNAcentral:URS00005165DA_9606	URS00005165DA_9606	Homo sapiens (human) microRNA hsa-miR-30b-5p
RNAcentral:URS00003768C5_9606	URS00003768C5_9606	Homo sapiens (human) microRNA hsa-miR-92a-3p
RNAcentral:URS00003B95DA_9606	URS00003B95DA_9606	Homo sapiens (human) microRNA hsa-miR-27a-3p
RNAcentral:URS0000236310_9606	URS0000236310_9606	Homo sapiens (human) microRNA hsa-miR-181d-5p
RNAcentral:URS00004DC6C5_9606	URS00004DC6C5_9606	Homo sapiens (human) hsa-miR-711.
RNAcentral:URS00001DC04F_9606	URS00001DC04F_9606	Homo sapiens (human) microRNA hsa-miR-1-3p
RNAcentral:URS000039ED8D_9606	URS000039ED8D_9606	Homo sapiens (human) microRNA hsa-miR-21-5p
RNAcentral:URS0000324096_9606	URS0000324096_9606	Homo sapiens (human) microRNA hsa-let-7b-5p
RNAcentral:URS000006FDD4_9606	URS000006FDD4_9606	Homo sapiens (human) microRNA hsa-miR-19a-3p
RNAcentral:URS0000170CF4_9606	URS0000170CF4_9606	Homo sapiens (human) microRNA hsa-miR-221-3p
RNAcentral:URS00004C9052_9606	URS00004C9052_9606	Homo sapiens (human) microRNA hsa-miR-133a-3p
RNAcentral:URS000020D84A_9606	URS000020D84A_9606	Homo sapiens (human) microRNA hsa-miR-218-5p
RNAcentral:URS000059273E_9606	URS000059273E_9606	Homo sapiens (human) microRNA hsa-miR-24-3p
RNAcentral:URS00001646B5_9606	URS00001646B5_9606	Homo sapiens (human) microRNA 34a
RNAcentral:URS000024463E_9606	URS000024463E_9606	Homo sapiens (human) microRNA hsa-miR-29b-3p
UniProtKB:Q96A00	PPP1R14A	Protein phosphatase 1 regulatory subunit 14A
UniProtKB:Q96HF1	SFRP2	Secreted frizzled-related protein 2
UniProtKB:Q9UK32	RPS6KA6	Ribosomal protein S6 kinase alpha-6
UniProtKB:P19022	CDH2	Cadherin-2
UniProtKB:P15692	VEGFA	Vascular endothelial growth factor A
UniProtKB:P49768	PSEN1	Presenilin-1
UniProtKB:Q9UBY5	LPAR3	Lysophosphatidic acid receptor 3
UniProtKB:Q9UJU6	DBNL	Drebrin-like protein
UniProtKB:P49790	NUP153	Nuclear pore complex protein Nup153
UniProtKB:P49796	RGS3	Regulator of G-protein signaling 3
UniProtKB:Q9UBV4	WNT16	Protein Wnt-16
UniProtKB:P27037	ACVR2A	Activin receptor type-2A
UniProtKB:Q9UBU3	GHRL	Appetite-regulating hormone
UniProtKB:Q9H254	SPTBN4	Spectrin beta chain, non-erythrocytic 4
UniProtKB:Q16619	CTF1	Cardiotrophin-1
UniProtKB:Q9Y261	FOXA2	Hepatocyte nuclear factor 3-beta
UniProtKB:Q9Y239	NOD1	Nucleotide-binding oligomerization domain-containing protein 1
UniProtKB:Q16663	CCL15	C-C motif chemokine 15
UniProtKB:Q9Y224	C14orf166	UPF0568 protein C14orf166
UniProtKB:O95398	RAPGEF3	Rap guanine nucleotide exchange factor 3
UniProtKB:O95390	GDF11	Growth/differentiation factor 11
UniProtKB:O95382	MAP3K6	Mitogen-activated protein kinase kinase kinase 6
UniProtKB:P57740	NUP107	Nuclear pore complex protein Nup107
UniProtKB:O95373	IPO7	Importin-7
UniProtKB:P30542	ADORA1	Adenosine receptor A1
UniProtKB:P17936	IGFBP3	Insulin-like growth factor-binding protein 3
UniProtKB:P05386	RPLP1	60S acidic ribosomal protein P1
UniProtKB:Q14596	NBR1	Next to BRCA1 gene 1 protein
UniProtKB:Q8NC56	LEMD2	LEM domain-containing protein 2
UniProtKB:Q14563	SEMA3A	Semaphorin-3A
UniProtKB:Q8NC42	RNF149	E3 ubiquitin-protein ligase RNF149
UniProtKB:P0DP25	CALM3	Calmodulin-3
UniProtKB:Q9NYJ8	TAB2	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2
UniProtKB:Q9UBD3	XCL2	Cytokine SCM-1 beta
UniProtKB:Q03468	ERCC6	DNA excision repair protein ERCC-6
UniProtKB:Q8TAE8	GADD45GIP1	Growth arrest and DNA damage-inducible proteins-interacting protein 1
UniProtKB:Q8TAE6	PPP1R14C	Protein phosphatase 1 regulatory subunit 14C
UniProtKB:O14556	GAPDHS	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific
UniProtKB:O14544	SOCS6	Suppressor of cytokine signaling 6
UniProtKB:O14543	SOCS3	Suppressor of cytokine signaling 3
UniProtKB:O14519	CDK2AP1	Cyclin-dependent kinase 2-associated protein 1
UniProtKB:O14512	SOCS7	Suppressor of cytokine signaling 7
UniProtKB:O14508	SOCS2	Suppressor of cytokine signaling 2
UniProtKB:Q9GZU7	CTDSP1	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1
UniProtKB:Q13233	MAP3K1	Mitogen-activated protein kinase kinase kinase 1
UniProtKB:Q9GZX9	TWSG1	Twisted gastrulation protein homolog 1
UniProtKB:Q13255	GRM1	Metabotropic glutamate receptor 1
UniProtKB:P33981	TTK	Dual specificity protein kinase TTK
UniProtKB:Q96RU7	TRIB3	Tribbles homolog 3
UniProtKB:Q13291	SLAMF1	Signaling lymphocytic activation molecule
UniProtKB:Q9BUL8	PDCD10	Programmed cell death protein 10
UniProtKB:Q9P2X3	IMPACT	Protein IMPACT
UniProtKB:Q8N8U9	BMPER	BMP-binding endothelial regulator protein
UniProtKB:Q8N967	LRTM2	Leucine-rich repeat and transmembrane domain-containing protein 2
UniProtKB:A6NHP3	SPDYE2B	Speedy protein E2B
UniProtKB:Q9BV35	SLC25A23	Calcium-binding mitochondrial carrier protein SCaMC-3
UniProtKB:Q02156	PRKCE	Protein kinase C epsilon type
UniProtKB:Q92519	TRIB2	Tribbles homolog 2
UniProtKB:O14495	PLPP3	Phospholipid phosphatase 3
UniProtKB:P35080	PFN2	Profilin-2
UniProtKB:Q9P2K8	EIF2AK4	eIF-2-alpha kinase GCN2
UniProtKB:Q9BUZ4	TRAF4	TNF receptor-associated factor 4
UniProtKB:P23634	ATP2B4	Plasma membrane calcium-transporting ATPase 4
UniProtKB:Q01974	ROR2	Tyrosine-protein kinase transmembrane receptor ROR2
UniProtKB:Q13387	MAPK8IP2	C-Jun-amino-terminal kinase-interacting protein 2
UniProtKB:Q6B0I6	KDM4D	Lysine-specific demethylase 4D
UniProtKB:P13385	TDGF1	Teratocarcinoma-derived growth factor 1
UniProtKB:Q9P287	BCCIP	BRCA2 and CDKN1A-interacting protein
UniProtKB:Q9P266	JCAD	Junctional protein associated with coronary artery disease
UniProtKB:P08697	SERPINF2	Alpha-2-antiplasmin
UniProtKB:Q9P1T7	MDFIC	MyoD family inhibitor domain-containing protein
UniProtKB:O00571	DDX3X	ATP-dependent RNA helicase DDX3X
UniProtKB:Q9BW27	NUP85	Nuclear pore complex protein Nup85
UniProtKB:Q38SD2	LRRK1	Leucine-rich repeat serine/threonine-protein kinase 1
UniProtKB:Q8N7R7	CCNYL1	Cyclin-Y-like protein 1
UniProtKB:Q9P219	CCDC88C	Protein Daple
UniProtKB:P08648	ITGA5	Integrin alpha-5
UniProtKB:Q9P212	PLCE1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1
UniProtKB:P08620	FGF4	Fibroblast growth factor 4
UniProtKB:Q70IA6	MOB2	MOB kinase activator 2
UniProtKB:Q9NTI7	FAM212B	PAK4-inhibitor INKA2
UniProtKB:P40205	MYCNOS	N-cym protein
UniProtKB:Q9UPT6	MAPK8IP3	C-Jun-amino-terminal kinase-interacting protein 3
UniProtKB:O14944	EREG	Proepiregulin
UniProtKB:Q12891	HYAL2	Hyaluronidase-2
UniProtKB:O14920	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta
UniProtKB:P15056	BRAF	Serine/threonine-protein kinase B-raf
UniProtKB:Q12852	MAP3K12	Mitogen-activated protein kinase kinase kinase 12
UniProtKB:Q12851	MAP4K2	Mitogen-activated protein kinase kinase kinase kinase 2
UniProtKB:P15018	LIF	Leukemia inhibitory factor
UniProtKB:P09429	HMGB1	High mobility group protein B1
UniProtKB:Q12802	AKAP13	A-kinase anchor protein 13
UniProtKB:A6NLX3	SPDYE4	Speedy protein E4
UniProtKB:P46734	MAP2K3	Dual specificity mitogen-activated protein kinase kinase 3
UniProtKB:P04626	ERBB2	Receptor tyrosine-protein kinase erbB-2
UniProtKB:P57105	SYNJ2BP	Synaptojanin-2-binding protein
UniProtKB:P13861	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit
UniProtKB:Q9UQF2	MAPK8IP1	C-Jun-amino-terminal kinase-interacting protein 1
UniProtKB:P02788	LTF	Lactotransferrin
UniProtKB:Q969W9	PMEPA1	Protein TMEPAI
UniProtKB:P40189	IL6ST	Interleukin-6 receptor subunit beta
UniProtKB:Q969S3	ZNF622	Zinc finger protein 622
UniProtKB:Q969Q6	PPP2R3C	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma
UniProtKB:P40145	ADCY8	Adenylate cyclase type 8
UniProtKB:P16070	CD44	CD44 antigen
UniProtKB:P35443	THBS4	Thrombospondin-4
UniProtKB:Q99075	HBEGF	Proheparin-binding EGF-like growth factor
UniProtKB:Q12792	TWF1	Twinfilin-1
UniProtKB:Q969J5	IL22RA2	Interleukin-22 receptor subunit alpha-2
UniProtKB:Q12778	FOXO1	Forkhead box protein O1
UniProtKB:Q12774	ARHGEF5	Rho guanine nucleotide exchange factor 5
UniProtKB:Q969H8	MYDGF	Myeloid-derived growth factor
UniProtKB:Q969H0	FBXW7	F-box/WD repeat-containing protein 7
UniProtKB:Q12769	NUP160	Nuclear pore complex protein Nup160
UniProtKB:Q969G5	CAVIN3	Caveolae-associated protein 3
UniProtKB:Q969D9	TSLP	Thymic stromal lymphopoietin
UniProtKB:A0A0C5B5G6	MT-RNR1	Mitochondrial-derived peptide MOTS-c
UniProtKB:P57077	MAP3K7CL	MAP3K7 C-terminal-like protein
UniProtKB:A6NKU9	SPDYE3	Speedy protein E3
UniProtKB:P30405	PPIF	Peptidyl-prolyl cis-trans isomerase F, mitochondrial
UniProtKB:P25116	F2R	Proteinase-activated receptor 1
UniProtKB:P13725	OSM	Oncostatin-M
UniProtKB:P60568	IL2	Interleukin-2
UniProtKB:P25106	ACKR3	Atypical chemokine receptor 3
UniProtKB:Q9BRT2	UQCC2	Ubiquinol-cytochrome-c reductase complex assembly factor 2
UniProtKB:O15519	CFLAR	CASP8 and FADD-like apoptosis regulator
UniProtKB:O95147	DUSP14	Dual specificity protein phosphatase 14
UniProtKB:O95136	S1PR2	Sphingosine 1-phosphate receptor 2
UniProtKB:Q14397	GCKR	Glucokinase regulatory protein
UniProtKB:P30307	CDC25C	M-phase inducer phosphatase 3
UniProtKB:Q14393	GAS6	Growth arrest-specific protein 6
UniProtKB:P37023	ACVRL1	Serine/threonine-protein kinase receptor R3
UniProtKB:Q9NPH5	NOX4	NADPH oxidase 4
UniProtKB:Q9NPH9	IL26	Interleukin-26
UniProtKB:P67775	PPP2CA	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform
UniProtKB:P05113	IL5	Interleukin-5
UniProtKB:P05112	IL4	Interleukin-4
UniProtKB:P05111	INHA	Inhibin alpha chain
UniProtKB:Q96KB5	PBK	Lymphokine-activated killer T-cell-originated protein kinase
UniProtKB:P05107	ITGB2	Integrin beta-2
UniProtKB:Q14318	FKBP8	Peptidyl-prolyl cis-trans isomerase FKBP8
UniProtKB:Q6MZQ0	PRR5L	Proline-rich protein 5-like
UniProtKB:Q9UN36	NDRG2	Protein NDRG2
UniProtKB:P12645	BMP3	Bone morphogenetic protein 3
UniProtKB:Q9NQ66	PLCB1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1
UniProtKB:P03950	ANG	Angiogenin
UniProtKB:P05067	APP	Amyloid-beta A4 protein
UniProtKB:P15311	EZR	Ezrin
UniProtKB:P50750	CDK9	Cyclin-dependent kinase 9
UniProtKB:P30281	CCND3	G1/S-specific cyclin-D3
UniProtKB:P30279	CCND2	G1/S-specific cyclin-D2
UniProtKB:Q9P289	STK26	Serine/threonine-protein kinase 26
UniProtKB:Q9UNE0	EDAR	Tumor necrosis factor receptor superfamily member EDAR
UniProtKB:Q9C004	SPRY4	Protein sprouty homolog 4
UniProtKB:Q14289	PTK2B	Protein-tyrosine kinase 2-beta
