UniProtKB:P12270	TPR	Nucleoprotein TPR
UniProtKB:O15504	NUPL2	Nucleoporin-like protein 2
UniProtKB:Q9NZQ0	DNAJC27	DnaJ homolog subfamily C member 27
UniProtKB:P04233	CD74	HLA class II histocompatibility antigen gamma chain
UniProtKB:Q13443	ADAM9	Disintegrin and metalloproteinase domain-containing protein 9
UniProtKB:Q13432	UNC119	Protein unc-119 homolog A
UniProtKB:P04216	THY1	Thy-1 membrane glycoprotein
UniProtKB:Q9BX97	PLVAP	Plasmalemma vesicle-associated protein
UniProtKB:Q13418	ILK	Integrin-linked protein kinase
UniProtKB:P04201	MAS1	Proto-oncogene Mas
UniProtKB:Q9NZM5	NOP53	Ribosome biogenesis protein NOP53
UniProtKB:Q53R41	FASTKD1	FAST kinase domain-containing protein 1, mitochondrial
UniProtKB:O00560	SDCBP	Syntenin-1
UniProtKB:Q9Y6R4	MAP3K4	Mitogen-activated protein kinase kinase kinase 4
UniProtKB:Q8WXH5	SOCS4	Suppressor of cytokine signaling 4
UniProtKB:P36941	LTBR	Tumor necrosis factor receptor superfamily member 3
UniProtKB:P16471	PRLR	Prolactin receptor
UniProtKB:Q92990	GLMN	Glomulin
UniProtKB:P21127	CDK11B	Cyclin-dependent kinase 11B
UniProtKB:Q9Y6T7	DGKB	Diacylglycerol kinase beta
UniProtKB:Q92974	ARHGEF2	Rho guanine nucleotide exchange factor 2
UniProtKB:O00506	STK25	Serine/threonine-protein kinase 25
UniProtKB:H0YGX0	H0YGX0	Uncharacterized protein
UniProtKB:Q53EL6	PDCD4	Programmed cell death protein 4
UniProtKB:Q8IZP0	ABI1	Abl interactor 1
UniProtKB:Q6UXI9	NPNT	Nephronectin
UniProtKB:Q15831	STK11	Serine/threonine-protein kinase STK11
UniProtKB:Q9Y6W6	DUSP10	Dual specificity protein phosphatase 10
UniProtKB:P31391	SSTR4	Somatostatin receptor type 4
UniProtKB:P63244	RACK1	Receptor of activated protein C kinase 1
UniProtKB:Q92918	MAP4K1	Mitogen-activated protein kinase kinase kinase kinase 1
UniProtKB:Q92913	FGF13	Fibroblast growth factor 13
UniProtKB:Q99640	PKMYT1	Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase
UniProtKB:P51841	GUCY2F	Retinal guanylyl cyclase 2
UniProtKB:Q8IZL9	CDK20	Cyclin-dependent kinase 20
UniProtKB:Q92905	COPS5	COP9 signalosome complex subunit 5
UniProtKB:Q8WTR2	DUSP19	Dual specificity protein phosphatase 19
UniProtKB:P31371	FGF9	Fibroblast growth factor 9
UniProtKB:Q8WTQ7	GRK7	Rhodopsin kinase
UniProtKB:P43405	SYK	Tyrosine-protein kinase SYK
UniProtKB:Q99623	PHB2	Prohibitin-2
UniProtKB:Q8WU20	FRS2	Fibroblast growth factor receptor substrate 2
UniProtKB:P51828	ADCY7	Adenylate cyclase type 7
UniProtKB:Q99611	SEPHS2	Selenide, water dikinase 2
UniProtKB:P63208	SKP1	S-phase kinase-associated protein 1
UniProtKB:P51813	BMX	Cytoplasmic tyrosine-protein kinase BMX
UniProtKB:P51812	RPS6KA3	Ribosomal protein S6 kinase alpha-3
UniProtKB:Q8WU08	STK32A	Serine/threonine-protein kinase 32A
UniProtKB:P31323	PRKAR2B	cAMP-dependent protein kinase type II-beta regulatory subunit
UniProtKB:P31321	PRKAR1B	cAMP-dependent protein kinase type I-beta regulatory subunit
UniProtKB:P26651	ZFP36	mRNA decay activator protein ZFP36
UniProtKB:Q8IZE3	SCYL3	Protein-associating with the carboxyl-terminal domain of ezrin
UniProtKB:P01375	TNF	Tumor necrosis factor
UniProtKB:Q15389	ANGPT1	Angiopoietin-1
UniProtKB:Q6NZY7	CDC42EP5	Cdc42 effector protein 5
UniProtKB:Q5TCX8	MAP3K21	Mitogen-activated protein kinase kinase kinase 21
UniProtKB:A8K0Z3	WASHC1	WASH complex subunit 1
UniProtKB:Q15375	EPHA7	Ephrin type-A receptor 7
UniProtKB:P41595	HTR2B	5-hydroxytryptamine receptor 2B
UniProtKB:P41594	GRM5	Metabotropic glutamate receptor 5
UniProtKB:Q15349	RPS6KA2	Ribosomal protein S6 kinase alpha-2
UniProtKB:Q15326	ZMYND11	Zinc finger MYND domain-containing protein 11
UniProtKB:A2RU49	HYKK	Hydroxylysine kinase
UniProtKB:Q8NI17	IL31RA	Interleukin-31 receptor subunit alpha
UniProtKB:P36897	TGFBR1	TGF-beta receptor type-1
UniProtKB:P36896	ACVR1B	Activin receptor type-1B
UniProtKB:K9M1U5	IFNL4	Interferon lambda-4
UniProtKB:Q15303	ERBB4	Receptor tyrosine-protein kinase erbB-4
UniProtKB:O00487	PSMD14	26S proteasome non-ATPase regulatory subunit 14
UniProtKB:O00483	NDUFA4	Cytochrome c oxidase subunit NDUFA4
UniProtKB:P36888	FLT3	Receptor-type tyrosine-protein kinase FLT3
UniProtKB:Q6UX46	ALKAL2	ALK and LTK ligand 2
UniProtKB:Q8N1B3	CCNQ	Cyclin-Q
UniProtKB:P53671	LIMK2	LIM domain kinase 2
UniProtKB:P53667	LIMK1	LIM domain kinase 1
UniProtKB:P06213	INSR	Insulin receptor
UniProtKB:Q8TDC3	BRSK1	Serine/threonine-protein kinase BRSK1
UniProtKB:O75439	PMPCB	Mitochondrial-processing peptidase subunit beta
UniProtKB:P21781	FGF7	Fibroblast growth factor 7
UniProtKB:Q8IXB1	DNAJC10	DnaJ homolog subfamily C member 10
UniProtKB:Q8N0Y7	PGAM4	Probable phosphoglycerate mutase 4
UniProtKB:P28482	MAPK1	Mitogen-activated protein kinase 1
UniProtKB:P01275	GCG	Glucagon
UniProtKB:Q8N0W3	FUK	L-fucose kinase
UniProtKB:P33121	ACSL1	Long-chain-fatty-acid--CoA ligase 1
UniProtKB:P21730	C5AR1	C5a anaphylatoxin chemotactic receptor 1
UniProtKB:Q3T906	GNPTAB	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta
UniProtKB:O75462	CRLF1	Cytokine receptor-like factor 1
UniProtKB:Q8N0V5	GCNT2	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase
UniProtKB:P21728	DRD1	D(1A) dopamine receptor
UniProtKB:P01258	CALCA	Calcitonin
UniProtKB:Q8N165	PDIK1L	Serine/threonine-protein kinase PDIK1L
UniProtKB:Q99616	CCL13	C-C motif chemokine 13
UniProtKB:P01241	GH1	Somatotropin
UniProtKB:P21709	EPHA1	Ephrin type-A receptor 1
UniProtKB:Q8N122	RPTOR	Regulatory-associated protein of mTOR
UniProtKB:P31994	FCGR2B	Low affinity immunoglobulin gamma Fc region receptor II-b
UniProtKB:Q99643	SDHC	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial
UniProtKB:Q8IXQ6	PARP9	Poly [ADP-ribose] polymerase 9
UniProtKB:P11487	FGF3	Fibroblast growth factor 3
UniProtKB:P31947	SFN	14-3-3 protein sigma
UniProtKB:P31946	YWHAB	14-3-3 protein beta/alpha
UniProtKB:Q92769	HDAC2	Histone deacetylase 2
UniProtKB:Q99497	PARK7	Protein/nucleic acid deglycase DJ-1
UniProtKB:P31930	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial
UniProtKB:Q92786	PROX1	Prospero homeobox protein 1
UniProtKB:Q99683	MAP3K5	Mitogen-activated protein kinase kinase kinase 5
UniProtKB:Q8TDZ2	MICAL1	[F-actin]-monooxygenase MICAL1
UniProtKB:P18146	EGR1	Early growth response protein 1
UniProtKB:P06748	NPM1	Nucleophosmin
UniProtKB:P06744	GPI	Glucose-6-phosphate isomerase
UniProtKB:P06733	ENO1	Alpha-enolase
UniProtKB:P06732	CKM	Creatine kinase M-type
UniProtKB:Q92989	CLP1	Polyribonucleotide 5'-hydroxyl-kinase Clp1
UniProtKB:Q96BR1	SGK3	Serine/threonine-protein kinase Sgk3
UniProtKB:Q15910	EZH2	Histone-lysine N-methyltransferase EZH2
UniProtKB:P21695	GPD1	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic
UniProtKB:Q15904	ATP6AP1	V-type proton ATPase subunit S1
UniProtKB:P33076	CIITA	MHC class II transactivator
UniProtKB:P21675	TAF1	Transcription initiation factor TFIID subunit 1
UniProtKB:Q96C74	ROPN1L	Ropporin-1-like protein
UniProtKB:Q86Z14	KLB	Beta-klotho
UniProtKB:P28335	HTR2C	5-hydroxytryptamine receptor 2C
UniProtKB:Q92997	DVL3	Segment polarity protein dishevelled homolog DVL-3
UniProtKB:O76074	PDE5A	cGMP-specific 3',5'-cyclic phosphodiesterase
UniProtKB:Q15797	SMAD1	Mothers against decapentaplegic homolog 1
UniProtKB:Q15796	SMAD2	Mothers against decapentaplegic homolog 2
UniProtKB:Q6UXT8	ALKAL1	ALK and LTK ligand 1
UniProtKB:P11234	RALB	Ras-related protein Ral-B
UniProtKB:Q8IZX4	TAF1L	Transcription initiation factor TFIID subunit 1-like
UniProtKB:O76050	NEURL1	E3 ubiquitin-protein ligase NEURL1
UniProtKB:Q15772	SPEG	Striated muscle preferentially expressed protein kinase
UniProtKB:Q15768	EFNB3	Ephrin-B3
UniProtKB:Q15761	NPY5R	Neuropeptide Y receptor type 5
UniProtKB:Q6DT37	CDC42BPG	Serine/threonine-protein kinase MRCK gamma
UniProtKB:O76039	CDKL5	Cyclin-dependent kinase-like 5
UniProtKB:Q8WXG6	MADD	MAP kinase-activating death domain protein
UniProtKB:Q15759	MAPK11	Mitogen-activated protein kinase 11
UniProtKB:Q15750	TAB1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1
UniProtKB:Q15746	MYLK	Myosin light chain kinase, smooth muscle
UniProtKB:Q15742	NAB2	NGFI-A-binding protein 2
UniProtKB:Q15735	INPP5J	Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A
UniProtKB:Q15726	KISS1	Metastasis-suppressor KiSS-1
UniProtKB:P09668	CTSH	Pro-cathepsin H
UniProtKB:P14635	CCNB1	G2/mitotic-specific cyclin-B1
UniProtKB:Q15700	DLG2	Disks large homolog 2
UniProtKB:P24863	CCNC	Cyclin-C
UniProtKB:P25445	FAS	Tumor necrosis factor receptor superfamily member 6
UniProtKB:P10644	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit
UniProtKB:P21462	FPR1	fMet-Leu-Phe receptor
UniProtKB:P40933	IL15	Interleukin-15
UniProtKB:P47992	XCL1	Lymphotactin
UniProtKB:P49918	CDKN1C	Cyclin-dependent kinase inhibitor 1C
UniProtKB:P59044	NLRP6	NACHT, LRR and PYD domains-containing protein 6
UniProtKB:Q8WUJ0	STYX	Serine/threonine/tyrosine-interacting protein
UniProtKB:P63215	GNG3	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-3
UniProtKB:Q8NFT6	DBF4B	Protein DBF4 homolog B
UniProtKB:Q99996	AKAP9	A-kinase anchor protein 9
UniProtKB:H0YJX3	H0YJX3	Uncharacterized protein
UniProtKB:Q99986	VRK1	Serine/threonine-protein kinase VRK1
UniProtKB:Q99972	MYOC	Myocilin
UniProtKB:Q05469	LIPE	Hormone-sensitive lipase
UniProtKB:Q99969	RARRES2	Retinoic acid receptor responder protein 2
UniProtKB:Q99728	BARD1	BRCA1-associated RING domain protein 1
UniProtKB:Q99956	DUSP9	Dual specificity protein phosphatase 9
UniProtKB:Q99741	CDC6	Cell division control protein 6 homolog
UniProtKB:Q9Y616	IRAK3	Interleukin-1 receptor-associated kinase 3
UniProtKB:P31689	DNAJA1	DnaJ homolog subfamily A member 1
UniProtKB:P53355	DAPK1	Death-associated protein kinase 1
UniProtKB:Q99759	MAP3K3	Mitogen-activated protein kinase kinase kinase 3
UniProtKB:Q8WWQ0	PHIP	PH-interacting protein
UniProtKB:P31751	AKT2	RAC-beta serine/threonine-protein kinase
UniProtKB:P43034	PAFAH1B1	Platelet-activating factor acetylhydrolase IB subunit alpha
UniProtKB:A0A0J9YVX5	A0A0J9YVX5	Uncharacterized protein
UniProtKB:P43026	GDF5	Growth/differentiation factor 5
UniProtKB:P53350	PLK1	Serine/threonine-protein kinase PLK1
UniProtKB:P31785	IL2RG	Cytokine receptor common subunit gamma
UniProtKB:Q8WWL7	CCNB3	G2/mitotic-specific cyclin-B3
UniProtKB:Q08AM6	VAC14	Protein VAC14 homolog
UniProtKB:P26951	IL3RA	Interleukin-3 receptor subunit alpha
UniProtKB:Q6J9G0	STYK1	Tyrosine-protein kinase STYK1
UniProtKB:Q15672	TWIST1	Twist-related protein 1
UniProtKB:Q15669	RHOH	Rho-related GTP-binding protein RhoH
UniProtKB:Q8WWG1	NRG4	Pro-neuregulin-4, membrane-bound isoform
UniProtKB:Q15648	MED1	Mediator of RNA polymerase II transcription subunit 1
UniProtKB:P38936	CDKN1A	Cyclin-dependent kinase inhibitor 1
UniProtKB:Q8TDR2	STK35	Serine/threonine-protein kinase 35
UniProtKB:Q8TDR0	TRAF3IP1	TRAF3-interacting protein 1
UniProtKB:Q8TDQ0	HAVCR2	Hepatitis A virus cellular receptor 2
UniProtKB:Q8IXL6	FAM20C	Extracellular serine/threonine protein kinase FAM20C
UniProtKB:Q99436	PSMB7	Proteasome subunit beta type-7
UniProtKB:P51636	CAV2	Caveolin-2
UniProtKB:Q86Y39	NDUFA11	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11
UniProtKB:Q86Y37	CACUL1	CDK2-associated and cullin domain-containing protein 1
UniProtKB:Q8TE04	PANK1	Pantothenate kinase 1
UniProtKB:Q8IXJ6	SIRT2	NAD-dependent protein deacetylase sirtuin-2
UniProtKB:P31152	MAPK4	Mitogen-activated protein kinase 4
UniProtKB:P31151	S100A7	Protein S100-A7
UniProtKB:P51617	IRAK1	Interleukin-1 receptor-associated kinase 1
UniProtKB:P63000	RAC1	Ras-related C3 botulinum toxin substrate 1
UniProtKB:Q86XP1	DGKH	Diacylglycerol kinase eta
UniProtKB:P51608	MECP2	Methyl-CpG-binding protein 2
UniProtKB:P46940	IQGAP1	Ras GTPase-activating-like protein IQGAP1
UniProtKB:Q86Y07	VRK2	Serine/threonine-protein kinase VRK2
UniProtKB:P01563	IFNA2	Interferon alpha-2
UniProtKB:P01568	IFNA21	Interferon alpha-21
UniProtKB:P01569	IFNA5	Interferon alpha-5
UniProtKB:Q86XL3	ANKLE2	Ankyrin repeat and LEM domain-containing protein 2
UniProtKB:Q15198	PDGFRL	Platelet-derived growth factor receptor-like protein
UniProtKB:P01571	IFNA17	Interferon alpha-17
UniProtKB:P01574	IFNB1	Interferon beta
UniProtKB:P26441	CNTF	Ciliary neurotrophic factor
UniProtKB:Q15185	PTGES3	Prostaglandin E synthase 3
UniProtKB:Q15173	PPP2R5B	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform
UniProtKB:Q15172	PPP2R5A	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform
UniProtKB:Q8TDF6	RASGRP4	RAS guanyl-releasing protein 4
UniProtKB:Q504Y2	PKDCC	Extracellular tyrosine-protein kinase PKDCC
UniProtKB:Q15139	PRKD1	Serine/threonine-protein kinase D1
UniProtKB:Q6NXT1	ANKRD54	Ankyrin repeat domain-containing protein 54
UniProtKB:Q15126	PMVK	Phosphomevalonate kinase
UniProtKB:Q15121	PEA15	Astrocytic phosphoprotein PEA-15
UniProtKB:Q15120	PDK3	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial
UniProtKB:Q15119	PDK2	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial
UniProtKB:Q15118	PDK1	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial
UniProtKB:O00292	LEFTY2	Left-right determination factor 2
UniProtKB:Q15109	AGER	Advanced glycosylation end product-specific receptor
UniProtKB:P61812	TGFB2	Transforming growth factor beta-2
UniProtKB:Q504T8	MIDN	Midnolin
UniProtKB:O00255	MEN1	Menin
UniProtKB:Q9HCT0	FGF22	Fibroblast growth factor 22
UniProtKB:P04792	HSPB1	Heat shock protein beta-1
UniProtKB:Q8IWV1	LAX1	Lymphocyte transmembrane adapter 1
UniProtKB:O00233	PSMD9	26S proteasome non-ATPase regulatory subunit 9
UniProtKB:O00232	PSMD12	26S proteasome non-ATPase regulatory subunit 12
UniProtKB:Q8IWU2	LMTK2	Serine/threonine-protein kinase LMTK2
UniProtKB:O00220	TNFRSF10A	Tumor necrosis factor receptor superfamily member 10A
UniProtKB:O00217	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial
UniProtKB:Q13976	PRKG1	cGMP-dependent protein kinase 1
UniProtKB:Q13972	RASGRF1	Ras-specific guanine nucleotide-releasing factor 1
UniProtKB:Q9HCP0	CSNK1G1	Casein kinase I isoform gamma-1
UniProtKB:P23229	ITGA6	Integrin alpha-6
UniProtKB:Q8IWQ3	BRSK2	Serine/threonine-protein kinase BRSK2
UniProtKB:Q13956	PDE6H	Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma
UniProtKB:Q8TCU6	PREX1	Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein
UniProtKB:O14793	MSTN	Growth/differentiation factor 8
UniProtKB:O14788	TNFSF11	Tumor necrosis factor ligand superfamily member 11
UniProtKB:O14786	NRP1	Neuropilin-1
UniProtKB:Q5T2Q4	CCNYL2	Cyclin-Y-like protein 2
UniProtKB:P61073	CXCR4	C-X-C chemokine receptor type 4
UniProtKB:P35372	OPRM1	Mu-type opioid receptor
UniProtKB:Q96PF2	TSSK2	Testis-specific serine/threonine-protein kinase 2
UniProtKB:P35368	ADRA1B	Alpha-1B adrenergic receptor
UniProtKB:O14763	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B
UniProtKB:O14757	CHEK1	Serine/threonine-protein kinase Chk1
UniProtKB:P35354	PTGS2	Prostaglandin G/H synthase 2
UniProtKB:P04054	PLA2G1B	Phospholipase A2
UniProtKB:P19838	NFKB1	Nuclear factor NF-kappa-B p105 subunit
UniProtKB:P35348	ADRA1A	Alpha-1A adrenergic receptor
UniProtKB:O14744	PRMT5	Protein arginine N-methyltransferase 5
UniProtKB:P04062	GBA	Glucosylceramidase
UniProtKB:Q8TCT0	CERK	Ceramide kinase
UniProtKB:O14733	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7
UniProtKB:O14732	IMPA2	Inositol monophosphatase 2
UniProtKB:P23945	FSHR	Follicle-stimulating hormone receptor
UniProtKB:O14730	RIOK3	Serine/threonine-protein kinase RIO3
UniProtKB:P04075	ALDOA	Fructose-bisphosphate aldolase A
UniProtKB:O14713	ITGB1BP1	Integrin beta-1-binding protein 1
UniProtKB:P23919	DTYMK	Thymidylate kinase
UniProtKB:P16333	NCK1	Cytoplasmic protein NCK1
UniProtKB:A6NJW4	LRRC3C	Leucine-rich repeat-containing protein 3C
UniProtKB:P25092	GUCY2C	Heat-stable enterotoxin receptor
UniProtKB:P25090	FPR2	N-formyl peptide receptor 2
UniProtKB:Q07912	TNK2	Activated CDC42 kinase 1
UniProtKB:Q9BSK2	SLC25A33	Solute carrier family 25 member 33
UniProtKB:P13688	CEACAM1	Carcinoembryonic antigen-related cell adhesion molecule 1
UniProtKB:P25063	CD24	Signal transducer CD24
UniProtKB:Q96PY6	NEK1	Serine/threonine-protein kinase Nek1
UniProtKB:P25054	APC	Adenomatous polyposis coli protein
UniProtKB:Q2MKA7	RSPO1	R-spondin-1
UniProtKB:Q9UL54	TAOK2	Serine/threonine-protein kinase TAO2
UniProtKB:Q9BT40	INPP5K	Inositol polyphosphate 5-phosphatase K
UniProtKB:P55774	CCL18	C-C motif chemokine 18
UniProtKB:P55773	CCL23	C-C motif chemokine 23
UniProtKB:P08922	ROS1	Proto-oncogene tyrosine-protein kinase ROS
UniProtKB:P08913	ADRA2A	Alpha-2A adrenergic receptor
UniProtKB:O14672	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10
UniProtKB:P04141	CSF2	Granulocyte-macrophage colony-stimulating factor
UniProtKB:O95718	ESRRB	Steroid hormone receptor ERR2
UniProtKB:Q09013	DMPK	Myotonin-protein kinase
UniProtKB:O14641	DVL2	Segment polarity protein dishevelled homolog DVL-2
UniProtKB:P35240	NF2	Merlin
UniProtKB:P35232	PHB	Prohibitin
UniProtKB:Q5VWK5	IL23R	Interleukin-23 receptor
UniProtKB:P07333	CSF1R	Macrophage colony-stimulating factor 1 receptor
UniProtKB:Q16543	CDC37	Hsp90 co-chaperone Cdc37
UniProtKB:Q16539	MAPK14	Mitogen-activated protein kinase 14
UniProtKB:P42773	CDKN2C	Cyclin-dependent kinase 4 inhibitor C
UniProtKB:P42772	CDKN2B	Cyclin-dependent kinase 4 inhibitor B
UniProtKB:P42771	CDKN2A	Cyclin-dependent kinase inhibitor 2A
UniProtKB:Q16526	CRY1	Cryptochrome-1
UniProtKB:Q16513	PKN2	Serine/threonine-protein kinase N2
UniProtKB:Q16512	PKN1	Serine/threonine-protein kinase N1
UniProtKB:O43561	LAT	Linker for activation of T-cells family member 1
UniProtKB:Q96HA1	POM121	Nuclear envelope pore membrane protein POM 121
UniProtKB:P54132	BLM	Bloom syndrome protein
UniProtKB:Q9UJM3	ERRFI1	ERBB receptor feedback inhibitor 1
UniProtKB:Q9Y2C9	TLR6	Toll-like receptor 6
UniProtKB:O43597	SPRY2	Protein sprouty homolog 2
UniProtKB:O75694	NUP155	Nuclear pore complex protein Nup155
UniProtKB:Q9UJJ9	GNPTG	N-acetylglucosamine-1-phosphotransferase subunit gamma
UniProtKB:P49441	INPP1	Inositol polyphosphate 1-phosphatase
UniProtKB:Q9Y2G4	ANKRD6	Ankyrin repeat domain-containing protein 6
UniProtKB:O75676	RPS6KA4	Ribosomal protein S6 kinase alpha-4
UniProtKB:Q9Y2H2	INPP5F	Phosphatidylinositide phosphatase SAC2
UniProtKB:P17568	NDUFB7	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7
UniProtKB:Q5JTJ3	COA6	Cytochrome c oxidase assembly factor 6 homolog
UniProtKB:P49407	ARRB1	Beta-arrestin-1
UniProtKB:Q9UJF2	RASAL2	Ras GTPase-activating protein nGAP
UniProtKB:P17540	CKMT2	Creatine kinase S-type, mitochondrial
UniProtKB:O43781	DYRK3	Dual specificity tyrosine-phosphorylation-regulated kinase 3
UniProtKB:O75610	LEFTY1	Left-right determination factor 1
UniProtKB:O43741	PRKAB2	5'-AMP-activated protein kinase subunit beta-2
UniProtKB:P52948	NUP98	Nuclear pore complex protein Nup98-Nup96
UniProtKB:F6TDL0	LOC110117498-PIK3R3	Uncharacterized protein
UniProtKB:M0QX08	M0QX08	Uncharacterized protein
UniProtKB:P52926	HMGA2	High mobility group protein HMGI-C
UniProtKB:P32455	GBP1	Guanylate-binding protein 1
UniProtKB:A1A4Y4	IRGM	Immunity-related GTPase family M protein
UniProtKB:P42338	PIK3CB	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform
UniProtKB:O14830	PPEF2	Serine/threonine-protein phosphatase with EF-hands 2
UniProtKB:Q9Y376	CAB39	Calcium-binding protein 39
UniProtKB:P00568	AK1	Adenylate kinase isoenzyme 1
UniProtKB:O95988	TCL1B	T-cell leukemia/lymphoma protein 1B
UniProtKB:P00558	PGK1	Phosphoglycerate kinase 1
UniProtKB:O95999	BCL10	B-cell lymphoma/leukemia 10
UniProtKB:Q9UIV1	CNOT7	CCR4-NOT transcription complex subunit 7
UniProtKB:Q9UJ70	NAGK	N-acetyl-D-glucosamine kinase
UniProtKB:P00540	MOS	Proto-oncogene serine/threonine-protein kinase mos
UniProtKB:P00533	EGFR	Epidermal growth factor receptor
UniProtKB:P27448	MARK3	MAP/microtubule affinity-regulating kinase 3
UniProtKB:P00519	ABL1	Tyrosine-protein kinase ABL1
UniProtKB:P27708	CAD	CAD protein
UniProtKB:P27707	DCK	Deoxycytidine kinase
UniProtKB:Q9NX62	IMPAD1	Inositol monophosphatase 3
UniProtKB:P10398	ARAF	Serine/threonine-protein kinase A-Raf
UniProtKB:O95684	FGFR1OP	FGFR1 oncogene partner
UniProtKB:Q9NX74	DUS2	tRNA-dihydrouridine(20) synthase [NAD(P)+]-like
UniProtKB:O95661	DIRAS3	GTP-binding protein Di-Ras3
UniProtKB:O75197	LRP5	Low-density lipoprotein receptor-related protein 5
UniProtKB:O75191	XYLB	Xylulose kinase
UniProtKB:Q9Y4K4	MAP4K5	Mitogen-activated protein kinase kinase kinase kinase 5
UniProtKB:Q6XLA1	CASC2	Protein CASC2, isoform 3
UniProtKB:P10912	GHR	Growth hormone receptor
UniProtKB:O75909	CCNK	Cyclin-K
UniProtKB:Q8NEV4	MYO3A	Myosin-IIIa
UniProtKB:Q8NEV1	CSNK2A3	Casein kinase II subunit alpha 3
UniProtKB:O95622	ADCY5	Adenylate cyclase type 5
UniProtKB:O75159	SOCS5	Suppressor of cytokine signaling 5
UniProtKB:Q9UHH9	IP6K2	Inositol hexakisphosphate kinase 2
UniProtKB:O43283	MAP3K13	Mitogen-activated protein kinase kinase kinase 13
UniProtKB:Q8NER5	ACVR1C	Activin receptor type-1C
UniProtKB:Q9Y4E8	USP15	Ubiquitin carboxyl-terminal hydrolase 15
UniProtKB:O75116	ROCK2	Rho-associated protein kinase 2
UniProtKB:Q14833	GRM4	Metabotropic glutamate receptor 4
UniProtKB:Q96BS2	TESC	Calcineurin B homologous protein 3
UniProtKB:O43252	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1
UniProtKB:O43242	PSMD3	26S proteasome non-ATPase regulatory subunit 3
UniProtKB:P20594	NPR2	Atrial natriuretic peptide receptor 2
UniProtKB:Q9Y4A5	TRRAP	Transformation/transcription domain-associated protein
UniProtKB:Q96FE7	PIK3IP1	Phosphoinositide-3-kinase-interacting protein 1
UniProtKB:P52429	DGKE	Diacylglycerol kinase epsilon
UniProtKB:Q8NEJ0	DUSP18	Dual specificity protein phosphatase 18
UniProtKB:E9PAM4	E9PAM4	Uncharacterized protein
UniProtKB:Q9UDY8	MALT1	Mucosa-associated lymphoid tissue lymphoma translocation protein 1
UniProtKB:Q9UDY2	TJP2	Tight junction protein ZO-2
UniProtKB:Q96BJ3	AIDA	Axin interactor, dorsalization-associated protein
UniProtKB:Q9UDW1	UQCR10	Cytochrome b-c1 complex subunit 9
UniProtKB:Q9UI95	MAD2L2	Mitotic spindle assembly checkpoint protein MAD2B
UniProtKB:Q9Y478	PRKAB1	5'-AMP-activated protein kinase subunit beta-1
UniProtKB:Q9UHY1	NRBP1	Nuclear receptor-binding protein
UniProtKB:Q9Y463	DYRK1B	Dual specificity tyrosine-phosphorylation-regulated kinase 1B
UniProtKB:Q8NEB9	PIK3C3	Phosphatidylinositol 3-kinase catalytic subunit type 3
UniProtKB:Q9Y3S1	WNK2	Serine/threonine-protein kinase WNK2
UniProtKB:Q9Y3P4	RHBDD3	Rhomboid domain-containing protein 3
UniProtKB:Q9Y6Q6	TNFRSF11A	Tumor necrosis factor receptor superfamily member 11A
UniProtKB:P10276	RARA	Retinoic acid receptor alpha
UniProtKB:P10275	AR	Androgen receptor
UniProtKB:Q9Y3L5	RAP2C	Ras-related protein Rap-2c
UniProtKB:O75096	LRP4	Low-density lipoprotein receptor-related protein 4
UniProtKB:O75084	FZD7	Frizzled-7
UniProtKB:O75081	CBFA2T3	Protein CBFA2T3
UniProtKB:O95544	NADK	NAD kinase
UniProtKB:O75072	FKTN	Fukutin
UniProtKB:Q8NHW4	CCL4L1	C-C motif chemokine 4-like
UniProtKB:Q9Y4H2	IRS2	Insulin receptor substrate 2
UniProtKB:P10636	MAPT	Microtubule-associated protein tau
UniProtKB:O75460	ERN1	Serine/threonine-protein kinase/endoribonuclease IRE1
